Group,Athlete,Distance,Session Load,Workload,Sprint Distance,High Intensity Running,No. of High Intensity Events,Metres per Minute,No. of Sprints,Top Speed,Raw Top Speed,Accelerations,Decelerations,Minutes Played
CMs,SYN_CMs_BAIXO_00945,648,40,0.2,5,8,1,35,1,25.2,27.7,0,3,17
,SYN_Indefinido_ALTO_00384,9944,1683,8.1,33,219,14,125,4,29.0,31.9,52,50,81
STs,SYN_STs_MEDIO_00160,7420,1541,7.6,65,211,19,88,3,28.8,31.9,55,47,86
CMs,SYN_CMs_ALTO_02081,10706,2242,11.0,30,304,25,113,3,30.5,33.3,62,80,96
STs,SYN_STs_ALTO_01154,9682,1787,9.0,95,485,30,107,8,29.1,32.5,87,77,87
CBs,SYN_CBs_ALTO_02655,9836,1923,9.3,32,255,25,112,4,29.5,33.1,77,74,89
10s,SYN_10s_ALTO_02413,11052,2063,10.5,79,397,22,108,4,31.7,34.8,80,78,95
CMs,SYN_CMs_ALTO_00175,9355,1940,9.9,47,307,22,98,2,28.7,30.5,65,59,88
CMs,SYN_CMs_ALTO_03122,12813,2320,11.7,53,298,24,135,2,32.5,34.1,73,85,94
10s,SYN_10s_ALTO_02634,8889,1772,9.3,56,414,21,100,5,32.1,33.7,71,63,87
STs,SYN_STs_ALTO_01112,9173,1860,9.4,71,342,26,101,8,31.7,32.9,92,71,92
CMs,SYN_CMs_ALTO_01712,9150,1909,10.1,51,296,16,114,4,32.2,34.6,47,55,82
,SYN_Indefinido_ALTO_00152,8327,1564,7.4,70,275,26,104,5,32.1,33.7,78,63,80
CMs,SYN_CMs_MEDIO_01613,6260,1087,5.8,27,171,14,91,2,30.5,32.1,33,46,71
CBs,SYN_CBs_MEDIO_00325,5320,1032,5.8,22,133,9,69,1,27.6,29.2,29,30,72
WBs,SYN_WBs_ALTO_02078,9528,1823,8.8,55,381,22,112,7,29.0,30.3,51,50,80
STs,SYN_STs_ALTO_01127,8428,1632,7.9,87,317,27,108,6,26.4,29.5,59,60,79
10s,SYN_10s_ALTO_00094,8852,1747,9.0,82,321,30,94,5,32.7,35.7,77,70,89
10s,SYN_10s_MEDIO_00094,6502,1306,5.6,59,232,18,78,3,27.3,29.1,45,47,84
CMs,SYN_CMs_MEDIO_02832,5422,1245,6.9,34,174,9,70,1,27.4,29.0,37,27,73
CMs,SYN_CMs_ALTO_01976,9524,1890,10.0,53,290,17,99,4,30.4,32.9,67,56,94
CMs,SYN_CMs_ALTO_00812,9533,1799,8.8,36,276,19,107,2,33.2,35.0,65,68,84
CMs,SYN_CMs_BAIXO_00617,848,136,0.7,17,36,1,24,1,25.2,27.5,1,6,35
STs,SYN_STs_ALTO_01753,8277,1689,9.1,77,409,24,105,6,30.1,32.2,60,60,86
10s,SYN_10s_ALTO_01850,6279,1294,6.1,50,286,19,77,3,29.0,31.0,62,49,80
CBs,SYN_CBs_ALTO_03421,9554,1675,8.3,39,245,24,113,2,29.3,30.6,66,68,81
CBs,SYN_CBs_ALTO_02102,7881,1546,8.4,23,228,22,83,1,29.2,30.6,67,67,95
10s,SYN_10s_BAIXO_01074,335,17,0.1,3,0,1,8,0,23.4,25.9,2,9,30
,SYN_Indefinido_ALTO_00552,9100,1938,9.2,57,354,19,99,3,28.1,30.3,67,47,86
CMs,SYN_CMs_BAIXO_01364,967,67,0.1,0,0,0,133,0,25.1,27.5,2,2,7
STs,SYN_STs_ALTO_00034,8907,1739,8.2,92,343,30,94,7,32.6,34.6,74,63,92
STs,SYN_STs_ALTO_00757,7716,1502,7.5,81,293,27,100,6,31.3,34.6,71,67,79
CMs,SYN_CMs_BAIXO_01422,254,74,0.1,0,2,0,40,0,26.5,29.6,6,0,6
CMs,SYN_CMs_ALTO_02577,10490,2198,11.1,44,332,23,114,4,30.2,32.1,71,77,92
CMs,SYN_CMs_ALTO_01302,10123,1800,9.0,79,337,18,113,4,30.4,32.7,64,58,92
,SYN_Indefinido_ALTO_01055,8878,1677,8.8,55,300,25,96,6,32.4,34.9,49,57,89
CMs,SYN_CMs_BAIXO_00291,860,114,0.6,23,111,1,26,0,24.2,26.5,8,8,37
WBs,SYN_WBs_MEDIO_00838,4125,802,4.1,50,95,11,61,2,28.4,31.7,34,39,65
CMs,SYN_CMs_ALTO_03173,11177,2145,10.4,58,303,29,109,5,28.3,31.9,67,70,95
CBs,SYN_CBs_ALTO_00773,8216,1591,8.1,32,295,23,92,1,30.1,32.8,67,66,86
CMs,SYN_CMs_MEDIO_02419,6399,1165,5.6,5,140,12,79,3,30.4,33.7,30,60,82
10s,SYN_10s_MEDIO_01373,4878,929,5.0,26,203,14,79,3,30.2,33.5,36,43,61
10s,SYN_10s_ALTO_02126,8497,1629,8.1,62,355,18,93,3,28.2,30.6,59,65,86
10s,SYN_10s_ALTO_03178,8525,1689,8.8,66,377,21,99,4,32.3,34.8,67,59,89
10s,SYN_10s_ALTO_03179,10120,2100,10.1,72,405,32,112,6,29.0,31.1,80,76,91
CMs,SYN_CMs_ALTO_02183,8655,1702,8.6,48,212,13,107,4,30.9,32.0,43,51,84
10s,SYN_10s_MEDIO_01431,5355,1138,5.7,53,207,10,73,1,27.0,28.5,35,34,76
CBs,SYN_CBs_ALTO_00480,9955,1919,9.2,30,257,21,108,2,26.6,28.4,85,64,88
WBs,SYN_WBs_ALTO_00245,9539,1864,9.2,61,565,31,108,8,33.1,35.7,74,60,92
CBs,SYN_CBs_BAIXO_00840,774,162,0.9,0,77,0,130,0,26.8,28.3,0,0,6
10s,SYN_10s_BAIXO_00227,1048,178,0.7,12,0,0,40,0,27.4,30.8,0,0,27
10s,SYN_10s_ALTO_02146,8518,1629,7.9,65,296,21,91,4,29.9,31.0,57,61,90
STs,SYN_STs_ALTO_02461,7245,1320,6.2,68,316,22,83,6,28.6,30.0,57,60,81
,SYN_Indefinido_BAIXO_00423,50,32,0.3,2,6,1,7,0,27.6,30.6,9,3,11
WBs,SYN_WBs_BAIXO_00308,2240,405,2.0,0,77,3,54,0,28.9,31.5,5,22,41
CMs,SYN_CMs_BAIXO_00748,223,8,0.1,0,0,1,28,0,23.3,25.6,0,9,7
CBs,SYN_CBs_MEDIO_01392,5627,938,4.4,22,159,15,60,2,30.7,33.2,60,41,86
CMs,SYN_CMs_BAIXO_00737,676,233,0.8,0,60,3,25,0,25.9,28.0,12,8,29
WBs,SYN_WBs_ALTO_02253,10221,2080,10.4,101,465,24,112,5,29.1,30.9,75,71,92
CBs,SYN_CBs_ALTO_02762,8826,1672,8.3,34,230,21,106,2,29.7,31.1,71,74,82
CMs,SYN_CMs_BAIXO_00900,50,39,0.3,2,0,2,6,2,23.6,25.3,0,0,8
10s,SYN_10s_ALTO_03420,8265,1657,8.4,62,357,15,95,2,30.7,32.6,59,50,93
10s,SYN_10s_MEDIO_01894,5481,1320,6.7,57,204,17,62,3,27.4,29.7,39,49,82
CBs,SYN_CBs_MEDIO_01425,4801,854,4.2,9,120,9,60,0,29.2,31.5,39,36,71
,SYN_Indefinido_ALTO_00513,8904,1672,8.1,45,200,14,104,3,29.9,31.7,57,46,87
CBs,SYN_CBs_BAIXO_00694,385,55,0.2,9,0,3,3,2,25.2,27.5,11,4,46
10s,SYN_10s_MEDIO_02517,5284,1012,5.4,59,204,11,64,2,28.1,29.6,44,27,84
,SYN_Indefinido_ALTO_01167,10455,1944,9.3,70,295,23,117,2,28.6,32.0,67,62,92
10s,SYN_10s_MEDIO_00304,6080,1127,5.1,56,220,15,73,3,27.3,30.4,50,37,81
10s,SYN_10s_ALTO_00628,7549,1517,7.6,66,303,17,90,3,28.6,32.1,61,53,86
10s,SYN_10s_ALTO_00056,7616,1420,6.8,41,250,24,92,4,29.1,32.0,67,51,81
10s,SYN_10s_BAIXO_01333,1077,245,1.4,0,67,1,31,0,24.5,26.9,0,12,39
CBs,SYN_CBs_BAIXO_00366,913,67,0.1,17,55,2,21,0,24.2,27.6,6,18,42
CMs,SYN_CMs_BAIXO_00259,1000,109,0.5,0,8,4,34,0,24.1,27.3,20,5,26
STs,SYN_STs_ALTO_01444,10948,2167,10.3,129,436,39,115,10,28.6,32.1,87,84,94
10s,SYN_10s_BAIXO_00253,1119,244,1.1,8,52,2,62,0,28.3,30.5,10,3,18
10s,SYN_10s_BAIXO_01071,950,207,0.5,26,99,4,30,0,28.3,30.0,7,20,32
STs,SYN_STs_MEDIO_01169,5157,1150,6.0,60,169,21,69,6,30.7,34.0,49,32,70
CMs,SYN_CMs_ALTO_02912,10648,2112,10.6,51,316,21,108,4,33.1,36.2,58,74,93
STs,SYN_STs_ALTO_00373,8772,1721,8.4,102,413,27,93,7,29.7,31.9,60,72,95
CBs,SYN_CBs_ALTO_02311,9434,1819,9.2,26,283,19,106,3,28.6,30.8,66,73,90
CMs,SYN_CMs_MEDIO_01802,3982,746,4.3,22,149,8,75,0,32.2,34.0,26,27,57
WBs,SYN_WBs_ALTO_01247,10546,2031,9.9,49,550,24,125,8,30.7,32.6,81,66,88
CMs,SYN_CMs_MEDIO_00171,4168,747,3.6,14,42,6,74,1,26.5,28.8,26,21,57
10s,SYN_10s_ALTO_02662,8797,1840,10.1,62,401,20,92,5,26.8,28.0,66,69,88
CMs,SYN_CMs_ALTO_01319,10618,1937,9.4,45,335,28,131,5,30.6,33.0,62,75,86
CMs,SYN_CMs_BAIXO_00040,726,178,0.8,20,40,0,23,0,25.7,26.9,0,3,42
,SYN_Indefinido_MEDIO_00098,5081,941,4.2,42,307,12,73,3,29.7,31.6,51,40,80
10s,SYN_10s_ALTO_02452,8972,1797,9.5,56,316,25,90,3,31.8,33.3,67,66,95
CMs,SYN_CMs_BAIXO_00738,1567,319,1.6,9,130,1,44,0,23.4,26.6,0,9,32
10s,SYN_10s_MEDIO_00752,5924,1047,5.3,38,314,12,79,1,31.9,33.1,60,29,72
CMs,SYN_CMs_ALTO_01934,7608,1413,6.6,55,318,20,99,3,29.7,31.2,57,60,83
CMs,SYN_CMs_MEDIO_02437,5659,1013,5.5,17,128,13,108,3,30.4,31.6,33,31,56
STs,SYN_STs_ALTO_02378,9511,1819,8.5,103,397,28,102,7,29.5,32.2,91,68,91
10s,SYN_10s_MEDIO_00900,4223,891,4.1,16,174,11,56,4,27.6,29.6,30,30,67
,SYN_Indefinido_ALTO_00816,9975,1916,9.7,81,325,32,104,5,28.4,31.3,95,72,92
CMs,SYN_CMs_MEDIO_00717,5338,866,4.5,37,193,9,90,1,30.2,33.2,33,36,57
10s,SYN_10s_ALTO_02442,10398,1950,9.8,82,348,26,112,5,28.6,30.7,82,78,95
CMs,SYN_CMs_MEDIO_00919,5006,1059,5.5,58,181,7,80,1,26.9,28.3,27,28,64
CMs,SYN_CMs_MEDIO_01615,6491,1195,6.2,36,116,10,68,1,30.0,32.9,24,46,86
CMs,SYN_CMs_MEDIO_01858,4360,751,3.7,31,72,8,76,0,30.0,32.9,26,26,59
CMs,SYN_CMs_MEDIO_01418,6830,1122,5.3,3,233,14,78,2,30.0,31.6,51,40,86
CBs,SYN_CBs_ALTO_01121,8128,1588,8.1,15,242,25,90,2,27.4,28.7,73,64,86
10s,SYN_10s_BAIXO_00387,248,112,0.7,7,0,0,8,0,25.9,29.1,0,1,29
WBs,SYN_WBs_BAIXO_00896,896,212,1.7,7,61,0,83,0,24.3,26.4,0,0,11
WBs,SYN_WBs_ALTO_00683,9221,1737,8.7,66,403,20,108,3,33.2,36.6,71,68,80
CBs,SYN_CBs_MEDIO_00565,5452,1190,6.0,36,154,13,65,2,25.8,29.3,44,42,83
CMs,SYN_CMs_MEDIO_02214,5214,793,4.3,14,164,12,71,3,30.9,33.3,42,28,75
STs,SYN_STs_ALTO_00838,9270,2000,10.0,90,408,21,114,6,29.8,31.6,66,70,84
CMs,SYN_CMs_ALTO_01823,9881,1869,9.3,59,225,21,103,2,27.9,30.8,53,72,94
CMs,SYN_CMs_ALTO_02149,10631,1962,10.0,54,365,22,116,3,31.9,33.3,56,61,88
STs,SYN_STs_MEDIO_00735,4194,844,4.1,58,279,12,64,6,30.3,32.8,27,20,59
CBs,SYN_CBs_MEDIO_00435,3146,384,2.5,20,77,8,56,0,29.4,31.7,36,21,55
STs,SYN_STs_BAIXO_00899,1391,268,1.5,0,8,1,59,0,24.9,26.8,5,8,25
WBs,SYN_WBs_ALTO_02159,12680,2578,12.5,109,447,35,132,8,32.0,35.3,95,94,96
10s,ORIG_ATL_10s_023,6043,1222,6.1,52,232,16,83,3,29.7,31.0,40,49,68
STs,SYN_STs_ALTO_01812,7983,1577,8.2,80,440,22,101,8,33.4,35.9,62,52,83
CMs,SYN_CMs_ALTO_00135,8540,1701,8.7,46,295,17,109,3,29.6,31.0,47,64,80
10s,SYN_10s_ALTO_01614,9597,1709,9.0,68,415,20,102,5,30.0,32.0,72,59,93
CBs,SYN_CBs_BAIXO_01472,297,54,0.3,3,0,0,18,0,23.2,25.4,0,0,13
CBs,SYN_CBs_BAIXO_00039,1205,249,1.2,11,8,1,32,0,25.5,27.4,0,11,45
WBs,SYN_WBs_ALTO_01405,12274,2241,11.6,85,476,24,129,7,31.1,32.2,83,74,96
STs,SYN_STs_ALTO_01845,9512,1797,8.5,79,352,22,119,6,31.1,32.9,59,71,81
STs,SYN_STs_MEDIO_01514,4473,919,5.3,65,197,14,76,5,30.4,33.3,41,38,64
STs,SYN_STs_BAIXO_00365,77,8,0.1,2,10,1,2,0,25.6,28.0,7,6,16
10s,SYN_10s_ALTO_01497,7195,1286,6.6,56,313,22,79,3,27.9,29.6,62,53,83
CMs,SYN_CMs_MEDIO_00601,6244,1141,5.7,42,140,16,69,2,29.7,32.2,49,36,83
,SYN_Indefinido_MEDIO_00710,3688,815,4.4,24,168,14,73,5,26.6,27.8,23,28,56
STs,SYN_STs_ALTO_01074,10056,1786,9.2,104,406,31,112,10,32.1,33.7,77,63,88
WBs,SYN_WBs_ALTO_02271,9853,1857,9.4,104,564,32,112,6,31.5,34.4,80,76,86
CMs,SYN_CMs_ALTO_01895,9862,1921,9.8,73,295,23,113,3,29.5,31.2,70,65,88
STs,SYN_STs_MEDIO_01650,6988,1409,7.0,77,268,17,88,4,28.7,30.5,52,49,77
CMs,SYN_CMs_MEDIO_00860,5624,1013,4.8,6,190,15,73,2,30.3,32.9,27,50,77
10s,SYN_10s_MEDIO_02997,3376,610,2.7,33,162,7,54,1,29.0,31.2,25,16,57
,SYN_Indefinido_ALTO_00368,8152,1619,8.0,53,410,17,104,4,30.3,32.9,58,62,81
CMs,SYN_CMs_ALTO_03029,9670,2022,10.4,33,276,20,118,2,26.0,27.5,46,66,79
CMs,SYN_CMs_ALTO_00389,10745,2109,10.2,54,357,26,116,4,31.2,33.1,64,74,91
CMs,SYN_CMs_BAIXO_00649,1567,293,1.6,6,1,2,37,0,27.5,29.7,7,11,39
CMs,SYN_CMs_ALTO_01574,10530,1970,10.3,48,300,25,115,7,30.9,33.0,55,51,94
10s,SYN_10s_MEDIO_02337,4972,913,4.6,44,222,13,68,1,27.7,30.4,36,40,71
10s,SYN_10s_BAIXO_00134,773,127,0.2,14,39,3,22,2,26.4,29.9,8,4,36
CMs,SYN_CMs_MEDIO_02373,5876,1042,5.4,40,219,11,72,2,26.4,27.9,35,43,81
STs,SYN_STs_BAIXO_00579,1306,328,2.2,0,79,1,72,0,26.3,29.0,12,0,19
CBs,SYN_CBs_ALTO_03126,10966,2059,10.0,43,273,28,116,5,28.1,30.5,86,86,96
STs,SYN_STs_MEDIO_01640,4529,1078,5.5,48,187,12,71,4,26.7,29.4,32,18,58
10s,SYN_10s_MEDIO_01589,3810,789,4.0,42,169,7,68,3,29.7,32.3,13,24,58
CMs,SYN_CMs_BAIXO_01071,996,251,1.8,0,24,0,40,0,27.0,30.5,0,3,29
CMs,SYN_CMs_BAIXO_00019,1132,206,1.5,5,0,1,22,0,25.5,29.0,0,13,50
CBs,SYN_CBs_BAIXO_01347,50,33,0.2,2,0,1,15,0,22.2,23.7,4,3,5
10s,SYN_10s_ALTO_00798,9355,1934,9.1,70,421,21,103,4,32.4,35.6,64,68,90
WBs,SYN_WBs_MEDIO_00821,4799,911,4.8,29,168,10,73,3,31.8,33.3,33,29,66
10s,SYN_10s_MEDIO_02878,3855,722,3.9,29,193,12,62,1,28.6,31.2,34,46,59
,SYN_Indefinido_ALTO_00815,9799,1827,9.0,40,260,18,113,3,29.6,31.6,56,53,87
CBs,SYN_CBs_MEDIO_02424,6419,1220,6.0,18,178,14,64,0,28.8,30.8,58,60,86
WBs,SYN_WBs_MEDIO_00552,5713,1151,5.4,54,206,16,74,4,27.9,30.2,32,36,74
CBs,SYN_CBs_ALTO_01736,10255,1980,10.5,44,314,24,112,2,25.7,28.9,81,81,93
CBs,SYN_CBs_ALTO_02178,9839,1869,9.3,42,201,19,102,3,29.2,31.8,75,81,92
CBs,SYN_CBs_MEDIO_00866,5272,1027,6.0,18,140,12,59,1,29.0,31.3,42,58,82
10s,SYN_10s_ALTO_00513,8240,1527,6.8,44,324,16,87,3,32.9,35.7,67,62,88
STs,SYN_STs_ALTO_01969,9344,1874,9.4,95,284,22,112,6,31.2,34.8,76,71,82
WBs,SYN_WBs_ALTO_00087,9261,1718,8.7,85,420,19,98,6,31.8,35.3,63,69,91
STs,SYN_STs_MEDIO_01664,4186,725,3.2,30,189,16,72,5,28.7,31.5,40,34,58
STs,ORIG_ATL_STs_023,9947,2013,10.1,108,439,27,108,8,26.7,28.5,37,71,87
CMs,SYN_CMs_BAIXO_00838,989,164,1.0,11,7,0,54,0,24.9,27.9,0,0,20
,SYN_Indefinido_MEDIO_00462,4277,769,3.8,50,127,12,75,3,29.3,31.8,39,18,58
CMs,SYN_CMs_ALTO_00072,9523,1795,9.2,48,304,19,107,4,29.3,31.5,71,58,86
CMs,SYN_CMs_MEDIO_01133,5101,894,4.4,51,165,8,74,2,27.6,29.7,20,36,64
CMs,SYN_CMs_BAIXO_00569,700,111,1.2,3,54,0,32,0,27.1,30.2,0,0,26
WBs,SYN_WBs_MEDIO_00192,4412,794,3.8,33,266,10,73,3,27.6,30.5,29,28,59
STs,SYN_STs_MEDIO_00899,4651,880,4.3,67,147,14,72,4,27.9,30.1,34,39,60
CMs,SYN_CMs_ALTO_02497,8842,1785,8.5,62,311,14,97,1,28.8,29.9,27,61,89
CBs,SYN_CBs_MEDIO_00714,5641,1226,6.3,15,176,12,78,1,26.5,28.5,42,43,75
10s,SYN_10s_MEDIO_00237,4621,1052,5.2,23,142,10,74,1,31.7,33.8,33,35,62
WBs,ORIG_ATL_WBs_059,4104,610,2.6,30,159,12,114,5,33.9,37.3,35,22,36
CBs,SYN_CBs_MEDIO_02135,3842,795,3.6,13,168,12,53,1,25.6,27.8,42,31,75
CBs,SYN_CBs_BAIXO_00615,51,59,0.4,0,0,1,1,0,27.5,29.0,0,11,24
CBs,SYN_CBs_BAIXO_00141,754,272,1.5,0,30,0,77,0,26.8,29.1,1,0,9
,SYN_Indefinido_ALTO_00333,9131,1739,8.6,78,340,14,109,3,31.1,34.7,49,64,80
CMs,SYN_CMs_MEDIO_01022,4216,766,3.5,36,122,8,75,2,31.2,33.2,15,27,56
WBs,SYN_WBs_BAIXO_00915,916,245,1.2,6,119,1,25,1,27.8,29.5,0,3,40
CBs,SYN_CBs_MEDIO_00439,4307,718,4.2,14,190,7,67,1,27.2,30.7,33,29,60
,SYN_Indefinido_BAIXO_00067,284,8,0.4,0,0,0,33,0,25.1,26.9,0,0,9
WBs,SYN_WBs_ALTO_01442,11353,2264,11.2,77,469,29,119,5,34.5,36.2,70,82,92
10s,SYN_10s_BAIXO_01059,347,77,0.6,0,2,1,16,0,27.2,29.5,0,12,17
CMs,SYN_CMs_ALTO_02853,9747,1809,9.0,70,239,20,105,3,28.7,30.4,55,71,91
10s,SYN_10s_MEDIO_00254,5529,991,5.5,52,143,14,76,4,30.0,31.7,33,44,72
CBs,SYN_CBs_ALTO_00902,9761,1893,8.9,35,275,20,107,3,27.0,28.3,75,77,93
CBs,SYN_CBs_ALTO_01918,10868,2047,10.2,22,255,25,119,2,29.3,30.7,88,78,95
,SYN_Indefinido_BAIXO_00127,921,209,1.1,14,119,2,14,0,26.8,28.0,0,20,49
10s,SYN_10s_BAIXO_00572,645,8,0.3,9,0,1,34,0,29.7,32.3,3,8,24
CBs,SYN_CBs_BAIXO_00326,1484,224,1.1,0,115,1,45,0,24.6,26.5,4,11,34
WBs,SYN_WBs_ALTO_01499,10002,2018,9.9,75,380,28,121,10,27.8,30.5,73,71,79
CBs,SYN_CBs_MEDIO_00472,5211,930,4.9,7,166,12,66,1,29.7,33.0,47,45,78
CBs,SYN_CBs_ALTO_01217,9514,1870,9.6,33,288,20,96,3,28.0,31.0,71,62,94
10s,SYN_10s_ALTO_02534,9124,1912,9.6,88,495,25,97,4,29.3,31.3,71,65,89
STs,SYN_STs_MEDIO_01272,5207,1093,5.9,32,191,16,59,8,28.4,32.0,42,44,82
CMs,SYN_CMs_BAIXO_01493,275,162,0.3,0,35,1,40,0,25.9,27.5,0,8,7
CBs,SYN_CBs_MEDIO_00981,4793,892,4.2,17,124,11,63,0,28.3,30.6,53,42,83
CBs,SYN_CBs_ALTO_02461,8245,1617,7.7,22,194,17,96,3,26.8,29.5,65,57,86
,SYN_Indefinido_BAIXO_00282,2317,323,2.0,14,18,3,65,2,23.1,25.0,17,0,34
,SYN_Indefinido_ALTO_00190,9418,1685,8.6,69,156,26,102,7,30.1,33.7,79,72,94
CMs,SYN_CMs_MEDIO_02892,5304,931,4.8,25,192,7,75,3,29.2,31.4,12,25,67
WBs,SYN_WBs_MEDIO_00467,6314,1342,6.0,56,196,11,92,2,30.4,32.8,28,40,71
CBs,SYN_CBs_ALTO_00524,7688,1588,7.8,44,266,22,98,2,29.6,33.1,80,64,79
10s,SYN_10s_ALTO_00032,7269,1509,7.7,58,296,24,92,5,33.4,36.2,66,64,81
CMs,SYN_CMs_ALTO_02722,9592,1947,10.1,73,222,16,106,3,30.5,31.7,72,57,93
CMs,SYN_CMs_ALTO_03387,11013,1994,9.8,56,326,22,116,3,31.5,33.2,63,68,96
CBs,SYN_CBs_MEDIO_00878,2603,397,1.7,4,141,11,40,2,28.6,30.1,33,31,58
STs,SYN_STs_MEDIO_00445,5257,971,4.8,63,115,12,86,1,27.1,30.3,50,41,64
CBs,SYN_CBs_ALTO_00233,8805,1720,8.3,26,257,27,105,4,29.0,32.2,84,68,86
STs,SYN_STs_MEDIO_01429,6924,1476,7.0,76,345,24,88,7,27.4,30.8,55,46,86
WBs,SYN_WBs_MEDIO_00241,6502,1496,7.2,50,357,13,75,4,30.7,33.0,42,50,79
CMs,SYN_CMs_MEDIO_02210,3700,793,4.4,38,113,7,70,1,28.6,31.8,15,26,53
CMs,SYN_CMs_ALTO_01090,10224,1923,9.9,53,261,22,122,4,31.4,32.5,61,61,88
CMs,SYN_CMs_MEDIO_02464,5248,1013,4.4,32,148,9,65,2,30.6,32.4,25,30,80
10s,SYN_10s_ALTO_02981,10312,1987,9.8,60,385,21,106,5,27.6,28.9,91,68,92
WBs,SYN_WBs_ALTO_01074,10630,2189,11.2,96,448,23,122,6,31.7,33.5,74,74,90
WBs,SYN_WBs_BAIXO_00792,1239,178,0.2,26,43,1,30,1,29.1,31.1,3,2,46
CBs,SYN_CBs_BAIXO_00874,208,147,0.4,10,0,0,2,1,25.5,28.6,0,0,42
,SYN_Indefinido_BAIXO_00272,352,24,0.2,0,45,0,53,0,29.2,31.8,6,0,7
10s,SYN_10s_ALTO_02811,8143,1471,7.5,53,263,21,94,5,30.8,32.2,62,62,84
CBs,SYN_CBs_MEDIO_01821,5314,883,4.5,27,77,12,76,1,27.1,28.4,55,42,72
10s,SYN_10s_MEDIO_02451,4541,1001,4.8,46,161,11,65,2,27.0,29.3,34,34,68
WBs,SYN_WBs_BAIXO_00545,1137,228,0.9,12,81,2,34,0,26.5,28.3,11,8,36
WBs,SYN_WBs_BAIXO_00849,1520,311,1.8,5,84,3,29,0,24.8,27.9,11,10,50
CBs,SYN_CBs_BAIXO_00344,1597,282,1.6,0,28,0,36,0,25.4,28.4,4,0,40
STs,SYN_STs_MEDIO_00794,6674,1348,7.1,58,292,19,80,4,26.2,28.9,65,52,83
10s,SYN_10s_ALTO_01253,8714,1705,8.3,75,324,24,100,5,32.4,35.3,70,59,86
10s,SYN_10s_ALTO_00090,7965,1674,7.8,57,214,21,98,4,30.9,34.0,61,56,80
CBs,SYN_CBs_ALTO_02598,9728,1741,8.7,39,276,25,118,2,30.5,32.0,90,81,89
STs,SYN_STs_BAIXO_00363,50,61,0.6,2,6,0,1,0,25.7,27.3,4,0,19
CBs,SYN_CBs_MEDIO_00615,4969,928,4.2,26,177,8,74,0,26.8,28.0,42,26,72
CBs,SYN_CBs_ALTO_02763,7679,1665,8.2,41,286,25,85,2,29.0,31.6,79,64,84
10s,SYN_10s_MEDIO_02721,4851,817,4.5,39,255,12,59,3,27.3,30.5,35,31,73
WBs,SYN_WBs_ALTO_01669,11459,2243,11.2,76,464,34,124,8,30.2,31.6,73,69,95
10s,SYN_10s_ALTO_02613,8605,1695,8.7,30,275,16,109,2,29.7,33.2,68,66,79
10s,SYN_10s_MEDIO_00365,4663,1053,5.1,46,130,17,48,5,29.8,32.0,37,30,85
STs,SYN_STs_ALTO_02252,9897,1930,9.2,110,434,29,99,9,31.1,32.3,94,79,95
10s,SYN_10s_BAIXO_00736,742,110,0.3,0,96,0,53,0,25.6,28.2,4,0,15
WBs,SYN_WBs_MEDIO_00874,6862,1418,7.2,51,349,16,83,4,27.6,29.4,42,48,86
10s,SYN_10s_MEDIO_02755,5553,921,4.9,44,279,12,72,3,30.4,33.5,42,36,77
WBs,SYN_WBs_BAIXO_00018,927,275,1.5,0,67,0,25,0,21.8,23.0,0,0,33
STs,SYN_STs_ALTO_02470,8560,1552,8.0,90,362,25,94,6,28.6,30.5,74,71,86
STs,SYN_STs_MEDIO_00044,4269,712,3.5,46,103,13,78,3,29.5,31.1,38,25,56
CBs,SYN_CBs_ALTO_03378,9315,1620,8.0,44,306,28,99,2,28.2,31.5,79,84,94
CBs,SYN_CBs_MEDIO_00636,3040,597,3.2,1,32,9,57,1,27.1,29.0,29,21,54
CMs,SYN_CMs_MEDIO_02631,6516,1166,6.0,39,199,10,81,1,30.2,32.9,36,27,80
STs,SYN_STs_ALTO_00367,8959,1804,9.0,107,418,24,99,6,31.5,33.5,86,73,87
WBs,SYN_WBs_ALTO_01061,11069,2306,12.1,115,451,23,116,6,30.3,33.5,59,78,90
10s,SYN_10s_MEDIO_01480,5833,1178,6.1,42,256,14,77,2,28.9,31.4,51,40,80
STs,SYN_STs_ALTO_01128,8995,1804,8.8,72,441,26,89,6,29.7,31.5,72,72,93
CMs,SYN_CMs_ALTO_01964,10307,1976,9.7,45,266,19,133,3,28.0,29.7,58,62,82
WBs,SYN_WBs_MEDIO_01240,6955,1516,8.1,38,314,23,78,5,30.7,32.0,53,51,84
CBs,SYN_CBs_MEDIO_00829,4371,1001,5.1,22,116,12,73,2,27.1,30.4,36,36,66
STs,SYN_STs_BAIXO_00776,50,8,0.3,0,0,2,1,0,26.8,29.6,4,13,11
CMs,SYN_CMs_MEDIO_02783,5647,1049,4.9,18,160,8,84,1,31.3,32.9,21,37,65
WBs,SYN_WBs_MEDIO_01034,5558,1196,5.9,47,203,17,76,3,28.5,29.7,40,41,70
CMs,SYN_CMs_BAIXO_00309,1054,191,1.6,0,0,4,22,0,26.2,27.5,18,13,43
10s,SYN_10s_ALTO_02922,8702,1610,8.2,67,376,21,93,5,31.3,34.6,74,69,92
,SYN_Indefinido_ALTO_00986,8409,1446,7.2,32,272,15,95,1,30.3,33.1,55,65,80
10s,SYN_10s_ALTO_01050,7148,1460,7.4,44,297,18,89,4,30.0,32.8,66,61,82
